label,x_centroid,y_centroid,area,integrated_intensity,intensity_uncertainty,ellipticity,elongation,snr_approx
56,2348.4448591870814,277.1036059120524,56.0,3.4125516762517853,0.0291249053921799,0.302365223926904,1.4334147813400047,117.16953687231764
57,3600.0958858875965,277.9405165974716,59.0,8.106217421107969,0.06541660932792351,0.19755643231585074,1.2461935521347605,123.91680804599234
58,1545.794340178847,277.396805667313,22.0,1.0778006791170034,0.018255000543038816,0.3780401397588934,1.6078207999023342,59.04139397727936
59,5253.304593415834,277.11814196101216,26.0,2.042875693198093,0.027984925101025616,0.2182068768721921,1.279110765261259,72.99914814219832
60,2005.8557764240295,280.9044453023365,39.0,1.9859122482794742,0.024305402269143555,0.3810587556952979,1.6156622445210718,81.7066192235234
61,2643.368917568404,280.8535566095178,41.0,3.884379830532973,0.039781905174711946,0.2546246314847719,1.3416059105789593,97.6418754575421
62,4110.48771119225,282.2433632100669,56.0,6.303578754566755,0.05218043510554027,0.34528340424706405,1.527378420658456,120.80349161169549
63,3890.1048795006895,281.5365500831772,33.0,3.665331732092262,0.041808977389461065,0.29932938425355804,1.4272041349053506,87.66853343359206
64,4853.544039182842,283.9982257792107,122.0,14.37938551459365,0.05610273105431286,0.1377346294818378,1.1597357776284913,256.3045549542502
65,4512.174373136688,288.69906494543227,140.0,19.164894348318086,0.07286689473538685,0.3458794663839325,1.5287702321036518,263.01236546328226
66,450.9853614530542,287.4516073060963,26.0,1.2622271367169797,0.019845277850828708,0.6047306227596423,2.5299202457364016,63.60339956964982
67,2447.4205464641013,294.2973660083679,296.0,62.79043089610489,0.06696014189887989,0.3417398970653722,1.519156326719243,937.7284622683162
68,495.18282351138924,292.0584366497953,109.0,8.291471337393181,0.04063345569963472,0.4774669255495667,1.9137544566948912,204.05528386963454
69,3673.9367361687373,290.1792896688281,39.0,4.965698814197775,0.052105875204640696,0.30433341243802536,1.4374702161628732,95.30017094416861
70,2528.8687153439537,294.7723299139684,81.0,4.719975589239255,0.0350278127356314,0.6148239564513074,2.596215462381381,134.7493668777653
71,3486.0174301114657,294.12770630677346,117.0,21.918155009591963,0.0849639449000094,0.3069376682910224,1.44287166427609,257.9700723099256
72,2357.6037365147595,294.77702223026984,22.0,1.103659458741912,0.018255000543038816,0.3401014045823161,1.515384343812777,60.457925275864795
73,4960.596537020519,298.2821716293393,99.0,10.807858182792083,0.04883657176732458,0.19316627798701247,1.2394127472821508,221.30665179129898
74,5070.986488239476,295.4287950065205,36.0,3.017091965342168,0.029780420683071178,0.29897605222519263,1.4264847915313073,101.31126075922926
75,1544.3413201269034,296.7112783874754,27.0,1.296001943371281,0.02022331711204059,0.2284387750981035,1.2960734258349353,64.08453846573298
76,1495.1951764294108,305.0725713356494,75.0,4.576496342727293,0.033705528520067654,0.34741057589872815,1.5323570426798938,135.7788037651607
77,3444.669846661003,305.1214723207288,62.0,8.266608021644256,0.06088283676708375,0.3049855457021169,1.4388189969519685,135.77895611647304
78,3500.7991494653165,304.79533456052803,30.0,3.2990590439919485,0.04259589414503235,0.37988270116971223,1.6125981356854193,77.45016533187844
79,4841.509989465402,307.7464488809722,50.0,4.178684770845583,0.03524942563082365,0.28863109645951945,1.4057403901449776,118.54618042886796
80,2672.8718516964946,313.1402027555242,117.0,18.86661411457919,0.07997175518976395,0.271491706777091,1.3726679700185924,235.91596895442453
81,4092.4784628792927,312.9583853235377,43.0,4.5037429099020425,0.04453633981854133,0.3021354448709629,1.4329428148347456,101.12512452195382
82,2248.414928200569,316.8867840154776,99.0,10.767795342559582,0.055642893221576166,0.2598433884684017,1.3510654156431983,193.5160937746538
83,2775.019962676881,313.49634370163125,24.0,2.481204708027786,0.037874763527988034,0.3725670971975975,1.5937959191071147,65.51076434297124
84,645.0525866016598,322.24633662910134,80.0,7.493775147094813,0.05774112902670403,0.39160616789318725,1.6436721531792826,129.7822760554111
