label,ra,dec,x_centroid,y_centroid,segment_flux,segment_flux_err,snr,area,ellipticity,elongation
313,214.87420719525159,52.776550598342816,1765.1295046339044,757.8603980892086,2.3268026334763854,0.09477024311683789,24.552038244829415,133.0,0.4805721647803338,1.9251952479156218
314,214.8815452580378,52.78183983820314,969.1718429560232,760.9954973417456,0.1399449929175612,0.027855980633379417,5.023876012818129,12.0,0.1585827893302343,1.1884710549288655
315,214.88052990796027,52.78125099901435,1066.717554132569,771.2022437034589,0.23346723404365372,0.031854960577154666,7.329069941184883,15.0,0.2723617972034337,1.3743093698992888
316,214.8901402465422,52.78825940252365,17.186237917050555,781.53640162319,0.18377257940759809,0.05930583955838871,3.0987265465935683,11.0,0.31536753115193783,1.4606377078238253
317,214.8832871158805,52.78337497360217,755.6321412246728,782.5773928061046,0.6778750744333168,0.050607382464875776,13.394786322011385,37.0,0.2375109551061072,1.311494252535994
318,214.87361237532963,52.77659230615917,1788.2453711293251,792.6341859959077,0.1852532567457386,0.029079853282412797,6.370501767895022,12.0,0.2504783635180664,1.3341843001274105
319,214.8737525256883,52.77674814296083,1768.2183124233875,796.7735561681939,2.8400522433813316,0.09583819745749167,29.63382366035229,134.0,0.44472625490853557,1.8009135292994638
320,214.89003357411596,52.78835334862663,13.723141888426344,794.2087714878751,0.19000707889678398,0.0478467250980668,3.971161631383232,10.0,0.3755942172746939,1.6015226438732848
321,214.87860422858589,52.78035251299111,1232.5098432064135,806.817302930333,2.8074062496324026,0.10891847285771675,25.775299414083744,174.0,0.3837497158208779,1.6227173044342733
322,214.87792340649747,52.77980282827481,1311.546024851063,802.1363753820119,0.3950360089645327,0.04234242567405543,9.32955546773467,28.0,0.35410915545386934,1.5482492257692595
323,214.88436924383697,52.78467129322047,592.8213584268797,821.4997469320637,48.315592292356804,0.27998658118298825,172.5639567732699,969.0,0.5927581657997729,2.4555434044831794
324,214.87089064676545,52.774821220268116,2066.6940415141835,805.7039080099346,0.12556512773764192,0.04367943679959777,2.8746965835145155,10.0,0.48766488411343345,1.951847470516553
325,214.872277273994,52.77592223916545,1907.3439627318223,813.8358397520191,0.6798112984647213,0.05576676543817449,12.19025871633868,47.0,0.13705744193889713,1.158825683886589
326,214.87967282892706,52.78136378527078,1095.388448610124,825.2229612230069,10.875888937435008,0.16346289740120387,66.53429683643249,364.0,0.2679750548809561,1.3660736654778576
327,214.88898237512956,52.78790682967559,100.35382619578036,816.9012980975201,0.16469097826589724,0.028230883954205303,5.833716667641386,11.0,0.28388041299106126,1.3964148141468415
328,214.87209667930935,52.77604568665767,1904.611434416119,832.6409405805613,23.978910697192845,0.1864208881269111,128.62781063926994,426.0,0.3833462441733604,1.6216555734092226
329,214.87121545430136,52.77534440576724,2006.0185253385912,827.356024464661,0.17127201896882135,0.03101913177330535,5.521496224346801,15.0,0.35132219491484185,1.5415973726258763
330,214.88959378519428,52.78856863959386,14.583228125158247,833.644251116166,0.29433619397537325,0.06686974091667353,4.401635028646903,19.0,0.5443508033645968,2.1946708287519927
331,214.87325497318747,52.7768947863171,1777.717899905991,834.1804832163804,0.1965911014421133,0.03004894932602334,6.542361907870743,14.0,0.6126891436962508,2.581905422283718
332,214.87061867274522,52.77499324120871,2063.801151472769,832.9905297231837,0.13157987323213252,0.04360115858555765,3.0178068083657927,10.0,0.5835101792288295,2.4010190648799172
333,214.8866632390331,52.78651637529591,327.1482566020618,836.7891000546311,0.2443717423544495,0.03302304759077743,7.400036040970878,16.0,0.5822263333417332,2.3936405757665584
334,214.88656856729855,52.78645411497159,336.8904417025905,837.1917273710143,0.15210377511370884,0.02886471010103429,5.2695410617776695,11.0,0.4680882444102663,1.880011091109077
335,214.87089740085474,52.77527370632739,2026.5639190761556,839.0276718375691,0.49852183744820144,0.04512199475777995,11.04831114236691,31.0,0.3809330567584529,1.6153341911034986
336,214.88002979849392,52.78179361564902,1041.4852897446067,838.2226083700257,0.13681382406049994,0.025673980152041722,5.328890310356488,10.0,0.2687553891495177,1.367531445923326
337,214.88065655283998,52.78246580723475,954.1041233928879,854.9064862012723,0.8162608973986522,0.060585440750455626,13.472888655885756,51.0,0.37756097359964425,1.6065830669119954
338,214.87029590094664,52.775162549019825,2063.4344391940954,862.779849549772,0.24900391689605036,0.05935637102221874,4.195066386434597,17.0,0.6662432444342579,2.996194034499547
339,214.87061215212861,52.775498680859236,2019.6079173699932,870.9628338099242,0.3309639042838536,0.03579418408247869,9.246303911306669,19.0,0.21041150788158458,1.266482490540185
340,214.87658051863343,52.779798178980506,1372.4286801665558,873.2789752232907,0.700135336720623,0.055741428836689144,12.560412449631936,47.0,0.23312346203951195,1.3039908648913747
