label,x,y,area,mean_probability,max_probability
710,1996.5727272727272,608.6909090909091,110,0.9062207,0.986821
711,2926.512280701754,612.6105263157895,285,0.9809217,0.9998461
712,3997.506097560976,611.3536585365854,164,0.97620493,0.9987345
713,2756.4903846153848,610.7788461538462,104,0.92204535,0.9915582
714,4897.251968503937,610.488188976378,127,0.97666353,0.9985379
715,3763.5459459459457,615.4594594594595,185,0.978717,0.999923
716,4383.61320754717,615.1509433962265,212,0.982065,0.99962187
717,4422.829039812646,621.4168618266979,427,0.99497944,0.9999981
718,2663.5049019607845,618.5392156862745,204,0.9696974,0.99804556
719,4289.228571428572,619.1380952380953,210,0.9767895,0.9998437
720,2549.3793103448274,619.5689655172414,174,0.95473295,0.99566495
721,3061.4563758389263,619.9731543624162,149,0.9800337,0.9989349
722,3250.555172413793,623.9586206896552,290,0.98651683,0.9999939
723,3577.4268292682927,620.7621951219512,164,0.9804452,0.99952734
724,5355.125,614.875,8,0.743074,0.8221614
725,731.6868686868687,624.1414141414141,198,0.9713084,0.9986396
726,5352.363636363636,617.0909090909091,11,0.7426159,0.8132328
727,2603.7163120567375,626.2836879432624,282,0.9866399,0.9999945
728,4064.170731707317,625.7161862527716,451,0.9796423,0.9999424
729,2393.873949579832,625.8613445378152,238,0.987496,0.99987316
730,2520.418269230769,625.9567307692307,208,0.9773025,0.9991189
731,1929.5,621.5,4,0.7183317,0.7570753
732,3482.791907514451,627.635838150289,173,0.9558017,0.99629605
733,4002.4857142857145,623.8285714285714,35,0.7888914,0.9302461
734,3667.6315789473683,625.5,38,0.8111546,0.9285331
735,5039.1353383458645,629.3082706766917,133,0.9780462,0.99933827
736,3749.4285714285716,628.7714285714286,70,0.86225307,0.96940374
737,4740.029239766081,631.578947368421,171,0.97615236,0.9994591
738,1780.0,630.2115384615385,52,0.77096456,0.93268573
739,2069.2259615384614,634.5961538461538,208,0.9862018,0.99982905
740,2113.9525862068967,637.0215517241379,232,0.97622275,0.99987876
741,3896.4311926605506,633.9816513761468,109,0.9123121,0.9852036
742,5314.19341563786,637.283950617284,243,0.9809131,0.99976075
743,2042.5652173913043,640.2565217391304,230,0.9786557,0.9998436
744,4089.497175141243,645.8926553672317,354,0.9849015,0.9999011
745,537.5,643.5833333333334,96,0.92549855,0.9866165
746,1050.866255144033,647.3271604938271,486,0.98756975,0.9999373
747,1378.2466666666667,644.9533333333334,150,0.9743907,0.99532664
748,1417.8115942028985,644.2463768115942,69,0.8529688,0.98114187
749,2193.154605263158,647.9078947368421,304,0.9926023,0.9999914
750,2672.2056074766356,648.3644859813085,214,0.98117995,0.9987404
751,3561.525,642.4625,80,0.94577944,0.99067944
752,4170.181818181818,644.6103896103896,154,0.98228675,0.9994531
753,4401.955390334572,646.7695167286246,269,0.98839694,0.99995816
754,4449.777777777777,642.047619047619,63,0.9123402,0.9839195
755,5063.170588235294,645.135294117647,170,0.9914407,0.9999118
756,5261.976923076923,644.0692307692308,130,0.9777571,0.9984681
757,1538.1666666666667,644.8888888888889,18,0.8204632,0.9431828
758,3714.176470588235,645.2352941176471,34,0.8707017,0.9677328
759,3271.204419889503,650.2541436464088,181,0.97697896,0.999498
760,1913.733695652174,651.8532608695652,184,0.98440254,0.99953127
761,3483.7926829268295,652.1219512195122,164,0.9667788,0.99894124
762,3789.66,651.72,150,0.98303103,0.99955803
763,4488.491124260355,654.8579881656805,169,0.9318473,0.99604756
764,5246.670212765957,653.1063829787234,94,0.87934893,0.9903805
765,5202.384615384615,656.6307692307693,195,0.98404056,0.9998794
766,2775.511111111111,655.4222222222222,90,0.89451534,0.97369766
767,2839.175257731959,656.9639175257732,194,0.98883814,0.9998989
768,3151.6363636363635,656.1468531468531,143,0.9802743,0.99963164
769,3512.7540106951874,656.6524064171123,187,0.98139757,0.9998719
770,4209.089108910891,656.019801980198,101,0.9094639,0.9898531
771,3580.6484375,658.0390625,128,0.92502755,0.99443865
772,4990.818627450981,659.9117647058823,204,0.9805474,0.9999186
773,4735.78835978836,659.936507936508,189,0.9784721,0.9997098
774,5002.5,653.5,4,0.7016845,0.74306345
775,3375.190243902439,662.560975609756,205,0.9842626,0.99997985
776,2560.4679802955666,664.4975369458128,203,0.9878755,0.9999335
777,4913.6107382550335,663.5570469798657,149,0.9743552,0.99910307
778,2413.8255813953488,667.3662790697674,172,0.96396315,0.9974251
779,4386.040229885058,667.1609195402299,174,0.96012545,0.99476457
780,4807.244897959184,670.3367346938776,196,0.95744044,0.9974835
781,3702.165803108808,669.1088082901555,193,0.98013264,0.99979246
782,3837.455172413793,669.9448275862069,145,0.97151923,0.9999354
783,4940.470588235294,668.9632352941177,136,0.96358186,0.9986242
784,1945.8237704918033,672.6598360655738,244,0.9882243,0.99989825
785,4313.365217391304,669.1652173913044,115,0.936021,0.9889548
786,353.2119205298013,674.1622516556291,302,0.985362,0.99967015
787,2832.4467005076144,672.3654822335026,197,0.98161644,0.9999131
788,3079.8447653429603,674.3574007220217,277,0.98989207,0.9999818
789,2617.6153846153848,674.1483516483516,182,0.9836795,0.9997706
790,2815.3720930232557,674.4325581395349,215,0.97102183,0.99685127
791,3318.6027397260273,672.945205479452,73,0.8227384,0.96872276
792,3147.5,670.5,4,0.6752442,0.70380205
793,3296.5096153846152,675.0769230769231,104,0.91949093,0.98808396
794,1180.644599303136,680.7595818815331,287,0.9850617,0.9998326
795,3994.0058479532163,678.2748538011696,171,0.9810019,0.99855965
796,5198.105527638191,678.894472361809,199,0.98041207,0.9996583
797,5433.831818181819,679.6136363636364,220,0.9751752,0.9984144
798,5224.516853932584,679.876404494382,178,0.9768769,0.99934703
799,4925.8536585365855,678.8048780487804,82,0.945214,0.99510586
800,2446.2487562189053,682.7512437810946,201,0.9802992,0.9991462
801,4077.6652452025587,690.7505330490405,469,0.9808641,0.9998699
802,1827.9239130434783,682.9782608695652,184,0.9751725,0.99692863
803,1586.2299651567944,686.0696864111499,287,0.98597616,0.9999306
804,3362.25,684.4329268292682,164,0.9632917,0.99587375
805,4293.685534591195,683.6666666666666,159,0.97930676,0.99801576
806,3587.653846153846,681.2307692307693,26,0.8081345,0.93590176
807,2080.7252747252746,691.014652014652,273,0.98809636,0.9999702
808,3623.056603773585,691.37106918239,159,0.97252667,0.9995677
809,2106.5974842767296,695.6918238993711,159,0.9771554,0.9971661
810,3731.9891304347825,696.320652173913,184,0.9410717,0.9982084
811,2130.588850174216,699.2473867595819,287,0.9882421,0.99995416
812,2945.197278911565,696.9251700680272,147,0.9625236,0.9996332
813,1529.5434782608695,700.704347826087,230,0.98665804,0.9999455
814,3463.026905829596,698.7578475336323,223,0.98225355,0.99985546
815,4280.875,692.125,8,0.7197826,0.78284377
816,4846.75,698.8076923076923,208,0.98018116,0.99974364
817,5474.043859649123,696.8859649122807,114,0.91496754,0.9854455
818,3842.5767195767194,698.3915343915344,189,0.9762799,0.9994742
819,4767.64367816092,701.9971264367816,348,0.98723507,0.9999695
820,4263.972222222223,703.7453703703703,216,0.98964226,0.99984306
821,4483.37,703.41,100,0.9752468,0.99819726
822,2822.4242424242425,706.012987012987,231,0.9865673,0.9999428
823,3096.1447368421054,704.2105263157895,152,0.9287982,0.9860457
824,2691.592391304348,706.570652173913,184,0.97212034,0.99950707
825,4827.434782608696,702.6086956521739,23,0.8175364,0.9355844
826,4039.482269503546,708.0425531914893,141,0.9704749,0.99894136
827,1194.5398230088495,711.6991150442478,226,0.97571516,0.9985837
828,3526.3720930232557,707.8139534883721,86,0.8707893,0.9662084
829,5070.079710144928,709.5289855072464,138,0.9543271,0.99463344
830,569.6157894736842,712.2789473684211,190,0.98219043,0.9992797
831,2435.2258064516127,706.8709677419355,31,0.833175,0.94321895
832,3492.3584905660377,710.6603773584906,159,0.9590423,0.9972974
833,2519.4956369982547,716.4607329842931,573,0.980159,0.9988402
834,3766.7565789473683,711.6907894736842,152,0.96651137,0.9988199
835,5306.894273127753,712.7356828193832,227,0.98227733,0.99984336
836,768.0969899665552,715.8795986622074,299,0.982646,0.9999213
837,3152.8588957055213,712.5889570552147,163,0.967801,0.9971239
838,1939.423076923077,714.7259615384615,208,0.9648104,0.99787915
839,3174.5798319327732,712.09243697479,119,0.9384285,0.99373287
840,4809.989010989011,714.1978021978022,182,0.98148,0.9997027
841,3126.2216748768474,715.0541871921182,203,0.979907,0.99927914
842,4185.660899653979,717.6505190311418,289,0.9882469,0.99996495
843,3415.5424836601305,717.0457516339869,153,0.9754489,0.99869066
844,637.2301255230126,720.7322175732218,239,0.9780327,0.99858874
845,3287.5,720.5,206,0.9820465,0.99994254
846,1446.4586466165413,726.3045112781955,266,0.9863395,0.9998803
847,3040.801801801802,724.4504504504505,222,0.9817168,0.9998621
848,3252.5,718.0,6,0.702388,0.76510626
849,3104.096618357488,725.6763285024155,207,0.984527,0.9999383
850,3724.8295454545455,724.7784090909091,176,0.9776102,0.99949753
851,4790.942857142857,724.44,175,0.979789,0.9993612
852,2780.895,726.6,200,0.9840044,0.999655
853,4338.171511627907,729.0319767441861,344,0.99166864,0.9999937
854,3708.852760736196,726.5276073619632,163,0.9798307,0.9992986
855,5449.79679144385,727.903743315508,187,0.97020847,0.99726427
856,4108.960674157303,728.8258426966293,178,0.9742257,0.99901056
857,4420.423076923077,728.1410256410256,156,0.9667981,0.9990001
858,2323.0729166666665,730.40625,192,0.9647077,0.9980869
859,2580.5859375,731.28125,256,0.97061473,0.99704033
860,3574.5,726.9148936170212,94,0.9174318,0.9872414
861,5225.055555555556,728.7685185185185,108,0.93915623,0.98838055
862,4889.529914529914,734.7136752136752,234,0.9846277,0.9999299
863,4049.8863636363635,734.2784090909091,176,0.97507197,0.9971646
864,252.58555133079847,737.4942965779468,263,0.9787519,0.9995233
865,4825.093023255814,736.9418604651163,172,0.9625947,0.9984119
866,2801.0,732.0,9,0.75102824,0.81970733
867,2980.107279693487,747.264367816092,522,0.9869788,0.9999964
868,4164.4390243902435,737.1219512195122,82,0.9111769,0.98427594
869,2756.3643410852715,740.3488372093024,129,0.9456022,0.991634
870,5478.151785714285,742.0803571428571,224,0.9783308,0.9994111
871,3290.078125,740.5859375,128,0.91589,0.9841159
872,3752.8947368421054,741.4561403508771,171,0.97575355,0.99948895
873,493.125,736.875,8,0.77976894,0.8658487
874,4562.971153846154,746.2692307692307,208,0.97535205,0.99980825
875,2483.4444444444443,744.1388888888889,36,0.8624333,0.9639873
876,3493.846153846154,747.5811965811965,117,0.93903226,0.9939526
877,3791.8,750.25,220,0.98240536,0.99984837
878,4341.5590778097985,753.2622478386168,347,0.9888888,0.9999919
879,4989.257627118644,752.8169491525424,295,0.9813669,0.9999727
880,3424.826530612245,751.2755102040817,196,0.9816897,0.9996464
881,2626.0650887573966,751.7869822485208,169,0.96091276,0.9947707
882,3694.8720930232557,749.9767441860465,86,0.8999256,0.97346246
883,2378.005128205128,753.5179487179487,195,0.97878885,0.99814165
884,2432.348717948718,752.9384615384615,195,0.97800416,0.99901545
885,3106.7486033519554,754.7597765363129,179,0.97483,0.99734545
886,4448.235741444867,757.1102661596958,263,0.9851109,0.9999325
887,4581.407079646017,758.6165191740413,339,0.98990524,0.9999672
888,4620.127819548872,754.8421052631579,133,0.96593094,0.9974326
889,2850.3733333333334,755.8866666666667,150,0.9642727,0.9972915
890,4827.851485148515,759.1980198019802,303,0.9874294,0.9999622
891,1940.01652892562,759.0330578512396,242,0.98131555,0.99869204
892,4509.831325301205,757.8313253012049,166,0.9766788,0.9994168
893,3675.746987951807,760.289156626506,249,0.9855663,0.9999665
894,4205.852678571428,760.0401785714286,224,0.98114026,0.9985846
895,4260.45,759.3,180,0.9860784,0.9997238
896,4016.7657342657344,763.1048951048951,286,0.96521634,0.9999114
897,3215.5,754.5,4,0.68849444,0.7158181
898,274.69950738916253,761.8768472906404,203,0.9899769,0.9997806
899,3038.3056994818653,761.7875647668394,193,0.9859086,0.99998045
900,2150.8766233766232,767.4415584415584,308,0.9838797,0.99998933
901,2976.225,760.925,40,0.85913324,0.9651621
902,1273.0966921119593,768.9770992366413,393,0.98923457,0.9999927
903,2357.922480620155,763.062015503876,129,0.9777574,0.9967344
904,3846.7634408602153,762.8064516129032,93,0.9353431,0.9881268
905,4178.46511627907,763.3333333333334,129,0.98694986,0.99974316
906,3967.7938144329896,763.4948453608248,97,0.97003645,0.997182
907,2876.753246753247,768.987012987013,77,0.9684855,0.999268
908,4126.6940639269405,769.8721461187215,219,0.97902215,0.9998832
909,3653.0824175824177,771.2032967032967,182,0.9648246,0.99868894
910,4733.271604938272,771.8230452674898,243,0.98589563,0.9998822
911,2883.3818181818183,769.3636363636364,55,0.82661045,0.9951198
912,2836.5673076923076,773.7836538461538,208,0.9840863,0.99953353
913,2911.3271028037384,774.2663551401869,214,0.9732586,0.99734414
914,5022.578313253012,773.5120481927711,166,0.98107195,0.99962234
915,422.42687747035575,776.695652173913,253,0.9800388,0.9987236
916,276.7916666666667,770.5,24,0.89590716,0.991439
917,693.3837209302326,777.5232558139535,258,0.97894436,0.9986895
918,3037.5,770.0,10,0.7743424,0.88012546
919,3332.3055555555557,772.25,36,0.845412,0.953017
920,2441.7066666666665,775.6266666666667,75,0.89409995,0.9879309
