label,x_centroid,y_centroid,area,segment_flux
1963,2006.8081441638883,2669.0810473115107,1160.0,49.75689596217126
1801,774.6447711964184,2410.099084516006,793.0,48.51832248643041
2200,2263.4038017611074,2990.820848314773,632.0,48.38234828505665
1127,422.5206353139048,1452.82100284533,823.0,47.85738547984511
771,807.7321485851634,959.7413901973492,653.0,46.89787605497986
2204,2027.190643520347,2995.920472912527,459.0,46.51753877475858
1879,903.1181606597451,2531.8768915334426,1462.0,46.09002491040155
2093,539.9419694109566,2835.11613585601,647.0,45.489096141885966
1559,2469.883939406845,2036.6781936645004,438.0,42.87959932349622
1672,2962.678509921523,2221.340382439886,733.0,42.59327987022698
562,1218.4565214606666,732.2397859835678,1340.0,42.31891137268394
1631,1146.6501441208472,2154.8022604668868,737.0,42.12595579586923
846,2434.171934307809,1041.5713239056736,903.0,41.357503053732216
941,1505.164822743546,1149.6996865475874,622.0,41.25311343558133
869,582.7554312777363,1064.0912046209276,811.0,41.15353946201503
748,2764.4344049528013,944.938557454542,860.0,41.004650886170566
260,1552.603505179556,329.8632944197018,717.0,40.633343699388206
931,813.4180997273926,1142.9008487071776,1028.0,40.31804016139358
1682,123.60915775248776,2256.0379344724042,1396.0,40.02373352320865
1307,1651.9507232001445,1710.2813274096036,1600.0,39.71787113882601
1433,677.7044507948309,1851.033982156584,513.0,39.225048259831965
152,788.3507895809597,202.98629926723402,1362.0,39.12378485593945
529,1756.3235699971756,661.7791961765587,658.0,38.520660498179495
203,1689.7458625052645,261.3366736954276,943.0,38.34749811515212
737,1798.9274442549736,924.7558391810476,690.0,37.86370829679072
801,2001.9369687075298,972.01876172975,353.0,37.06566875986755
1149,1057.4062886712718,1477.494837931661,607.0,37.06000222824514
2180,2612.3440333256417,2970.4185653915,779.0,36.53270915336907
699,2414.5738977297337,880.7457151940594,826.0,36.104662258177996
1038,1642.1595974106078,1314.462777479844,684.0,35.95203989185393
923,7.84658862656349,1149.7222238859388,1191.0,34.95825384836644
1101,1606.0306870113745,1417.3134751363414,1230.0,34.84431577846408
1802,267.7152702542702,2410.400846014173,708.0,34.772035588975996
1276,850.081200856662,1665.2981763745536,472.0,34.30936405342072
1,383.7982690276218,7.685441109972273,729.0,33.84149276372045
715,2046.2225575281718,900.689250972701,688.0,33.59940054733306
1058,1108.5601002374128,1327.37246887103,517.0,32.273777292110026
1926,2735.6174074183273,2615.3309135674094,845.0,31.164953499566764
1831,251.12817652059977,2455.0967570193116,526.0,30.809898030478507
1097,24.81434597179417,1401.8106558124016,355.0,30.655759988352656
1126,2848.2736122987544,1444.7497007966208,648.0,30.59071014728397
6,1977.9598054995763,5.73067530227546,581.0,29.481973594985902
1715,1425.3958260093013,2287.810594793863,938.0,28.659534126520157
491,2224.981644625623,622.8567707303927,622.0,28.440101366490126
1448,1034.8219689341713,1869.7334723745093,646.0,27.580264076590538
1492,2447.69385912049,1961.2058243517308,676.0,27.10603551659733
907,2361.496975985401,1111.1645397025127,488.0,25.75250938721001
1980,797.5333236941011,2683.438730550176,1300.0,24.975004735402763
968,1942.9377108842261,1200.1736884897593,543.0,24.520941759459674
2036,698.9805456850281,2744.266141494801,983.0,24.17574199847877
1511,1368.026801246544,1977.7574518000065,454.0,23.28089835587889
1775,1656.7023962544781,2367.998403794537,784.0,22.84322245325893
1299,408.8212260470878,1696.2013999846179,384.0,22.451322535984218
1954,2183.0637705723598,2644.898494237714,687.0,22.248411775566638
69,1908.4076677680093,101.06966473956172,508.0,22.063054743688554
78,241.23420173101437,111.0338295444241,539.0,22.039372235536575
807,2761.3130086102938,985.6133210410957,537.0,20.81378840841353
431,197.43382227740972,529.8564152658238,693.0,20.7934193899855
1621,1346.1338215477438,2126.2792548723933,352.0,20.732966689392924
1064,208.35601684880223,1343.5675386017226,483.0,20.42693132534623
858,2725.402889013673,1054.497264923129,670.0,20.130841333419085
761,2011.1087939379038,944.1752952573573,388.0,20.108356503769755
395,1498.8378237307888,493.5151704214697,556.0,20.05009876564145
1823,2286.5867219276156,2434.6377941918736,497.0,19.98329086601734
1374,651.9666290490678,1787.965282624969,543.0,19.87177157495171
1583,123.78472568029903,2084.8042652918616,569.0,19.429518327116966
514,736.6949966418406,644.4591800571801,391.0,19.26812743023038
2199,280.7254452582153,2986.7523591572394,451.0,19.144196984358132
487,2952.0477223584926,605.2623166043176,533.0,19.061687951441854
94,2249.085475152381,131.57469705326068,426.0,19.007413756102324
1935,1943.5251838591146,2615.729850433088,397.0,18.625116414390504
184,151.32667534843412,236.1837660118577,507.0,18.498353225179017
603,537.4849095277139,768.422570981028,532.0,18.368656682781875
1591,2111.4442231997677,2088.5941582161745,748.0,18.186127580702305
706,1632.9932246705364,888.6610647940644,456.0,17.505106178112328
1289,1408.3046915632126,1683.8165129854547,509.0,17.064576876349747
2081,1839.1667182390383,2813.826577336084,404.0,16.258935323450714
